,round,variable,value
352,1,HUL,17.0
353,2,HUL,17.0
354,3,HUL,19.0
355,4,HUL,20.0
356,5,HUL,20.0
357,6,HUL,20.0
358,7,HUL,20.0
359,8,HUL,20.0
360,9,HUL,20.0
361,10,HUL,21.0
362,11,HUL,21.0
363,12,HUL,21.0
364,13,HUL,21.0
365,14,HUL,21.0
366,15,HUL,21.0
367,16,HUL,22.0
368,17,HUL,22.0
369,18,HUL,22.0
370,19,HUL,22.0
371,20,HUL,22.0
372,21,HUL,22.0
373,22,HUL,22.0
374,1,PER,18.0
375,2,PER,7.0
376,3,PER,4.0
377,4,PER,3.0
378,5,PER,3.0
379,6,PER,3.0
380,7,PER,3.0
381,8,PER,2.0
382,9,PER,2.0
383,10,PER,2.0
384,11,PER,3.0
385,12,PER,3.0
386,13,PER,3.0
387,14,PER,2.0
388,15,PER,3.0
389,16,PER,3.0
390,17,PER,3.0
391,18,PER,2.0
392,19,PER,3.0
393,20,PER,2.0
394,21,PER,3.0
395,22,PER,3.0
396,1,VER,19.0
397,2,VER,3.0
398,3,VER,6.0
399,4,VER,2.0
400,5,VER,2.0
401,6,VER,1.0
402,7,VER,1.0
403,8,VER,1.0
404,9,VER,1.0
405,10,VER,1.0
406,11,VER,1.0
407,12,VER,1.0
408,13,VER,1.0
409,14,VER,1.0
410,15,VER,1.0
411,16,VER,1.0
412,17,VER,1.0
413,18,VER,1.0
414,19,VER,1.0
415,20,VER,1.0
416,21,VER,1.0
417,22,VER,1.0
418,1,GAS,20.0
419,2,GAS,12.0
420,3,GAS,12.0
421,4,GAS,13.0
422,5,GAS,13.0
423,6,GAS,13.0
424,7,GAS,14.0
425,8,GAS,10.0
426,9,GAS,11.0
427,10,GAS,11.0
428,11,GAS,13.0
429,12,GAS,13.0
430,13,GAS,13.0
431,14,GAS,14.0
432,15,GAS,14.0
433,16,GAS,11.0
434,17,GAS,13.0
435,18,GAS,13.0
436,19,GAS,14.0
437,20,GAS,14.0
438,21,GAS,14.0
439,22,GAS,14.0
440,1,VET,
441,2,VET,
442,3,VET,21.0
443,4,VET,14.0
444,5,VET,14.0
445,6,VET,14.0
446,7,VET,15.0
447,8,VET,14.0
448,9,VET,14.0
449,10,VET,13.0
450,11,VET,14.0
451,12,VET,14.0
452,13,VET,14.0
453,14,VET,12.0
454,15,VET,12.0
455,16,VET,13.0
456,17,VET,12.0
457,18,VET,11.0
458,19,VET,11.0
459,20,VET,11.0
460,21,VET,11.0
461,22,VET,12.0
462,1,DEV,
463,2,DEV,
464,3,DEV,
465,4,DEV,
466,5,DEV,
467,6,DEV,
468,7,DEV,
469,8,DEV,
470,9,DEV,
471,10,DEV,
472,11,DEV,
473,12,DEV,
474,13,DEV,
475,14,DEV,
476,15,DEV,
477,16,DEV,20.0
478,17,DEV,20.0
479,18,DEV,21.0
480,19,DEV,21.0
481,20,DEV,21.0
482,21,DEV,21.0
483,22,DEV,21.0
